city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Москва,5,3,62,758,2.6,небольшой дождь,67,,100,3,5,15.10.2025 06:52:33,2025-10-15T06:52:33.300548,Центральный,Круглогодично,UTC+3,12500000,-0.66,домашний отдых,да
Санкт-Петербург,6,4,88,759,3.0,пасмурно,10000,,100,6,6,15.10.2025 07:33:46,2025-10-15T07:33:46.647778,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.5,домашний отдых,нет
Санкт-Петербург,5,3,90,758,2.0,пасмурно,10000,,100,5,5,15.10.2025 04:40:55,2025-10-15T04:40:55.361593,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.2,домашний отдых,нет
Санкт-Петербург,7,5,86,759,3.0,пасмурно,10000,,100,6,7,15.10.2025 08:52:50,2025-10-15T08:52:50.854607,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.7,домашний отдых,нет
Новосибирск,1,-2,55,783,2.0,ясно,10000,,0,1,1,15.10.2025 07:33:46,2025-10-15T07:33:46.647778,Сибирский,Июнь-Август,UTC+7,1620000,9.2,домашний отдых,нет
Казань,5,2,66,765,4.41,переменная облачность,10000,,48,5,5,15.10.2025 05:36:59,2025-10-15T05:36:59.616843,Приволжский,Май-Сентябрь,UTC+3,1250000,3.56,домашний отдых,нет
Новосибирск,-2,-5,69,783,2.0,ясно,10000,,0,-2,-2,15.10.2025 05:36:59,2025-10-15T05:36:59.616843,Сибирский,Июнь-Август,UTC+7,1620000,5.2,домашний отдых,нет
Санкт-Петербург,6,3,89,758,3.0,пасмурно,10000,,100,5,6,15.10.2025 05:36:59,2025-10-15T05:36:59.616843,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.7,домашний отдых,нет
Санкт-Петербург,5,3,90,756,2.0,облачно с прояснениями,10000,,75,5,5,15.10.2025 03:17:43,2025-10-15T03:17:43.941266,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.7,домашний отдых,нет
Казань,8,6,60,764,4.49,пасмурно,10000,,100,8,8,15.10.2025 08:52:50,2025-10-15T08:52:50.854607,Приволжский,Май-Сентябрь,UTC+3,1250000,0.75,домашний отдых,нет
Москва,5,3,60,758,2.6,небольшой дождь,67,,100,4,5,15.10.2025 07:33:46,2025-10-15T07:33:46.647778,Центральный,Круглогодично,UTC+3,12500000,-0.26,домашний отдых,да
Новосибирск,-9,-13,92,784,2.0,ясно,10000,,0,-9,-9,15.10.2025 03:17:43,2025-10-15T03:17:43.941266,Сибирский,Июнь-Август,UTC+7,1620000,-2.2,домашний отдых,нет
Новосибирск,2,-2,48,783,3.0,ясно,10000,,0,2,2,15.10.2025 08:52:50,2025-10-15T08:52:50.854607,Сибирский,Июнь-Август,UTC+7,1620000,10.9,культурный туризм,нет
Новосибирск,-5,-5,80,784,1.0,ясно,10000,,0,-5,-5,15.10.2025 04:40:55,2025-10-15T04:40:55.361593,Сибирский,Июнь-Август,UTC+7,1620000,1.9,домашний отдых,нет
Казань,6,3,62,765,4.35,пасмурно,10000,,100,6,6,15.10.2025 06:52:33,2025-10-15T06:52:33.300548,Приволжский,Май-Сентябрь,UTC+3,1250000,-0.43,домашний отдых,нет
Сочи,12,11,75,765,2.61,облачно с прояснениями,10000,,65,12,12,15.10.2025 04:40:55,2025-10-15T04:40:55.361593,Южный,Май-Октябрь,UTC+3,400000,3.04,домашний отдых,да
Сочи,18,18,61,765,0.72,небольшой дождь,10000,,100,18,18,15.10.2025 07:33:46,2025-10-15T07:33:46.647778,Южный,Май-Октябрь,UTC+3,400000,4.93,домашний отдых,да
Сочи,18,18,64,766,0.9,небольшой дождь,10000,,100,18,18,15.10.2025 06:52:33,2025-10-15T06:52:33.300548,Южный,Май-Октябрь,UTC+3,400000,4.31,домашний отдых,да
Санкт-Петербург,6,3,89,758,3.0,пасмурно,10000,,100,6,6,15.10.2025 06:52:33,2025-10-15T06:52:33.300548,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.7,домашний отдых,нет
Новосибирск,1,1,51,783,1.0,ясно,10000,,0,1,1,15.10.2025 06:52:33,2025-10-15T06:52:33.300548,Сибирский,Июнь-Август,UTC+7,1620000,10.1,культурный туризм,нет
Москва,4,1,64,758,3.82,пасмурно,135,,100,3,4,15.10.2025 03:17:43,2025-10-15T03:17:43.941266,Центральный,Круглогодично,UTC+3,12500000,-1.58,домашний отдых,да
Москва,4,1,78,758,3.35,небольшой дождь,78,,100,3,4,15.10.2025 04:40:55,2025-10-15T04:40:55.361593,Центральный,Круглогодично,UTC+3,12500000,-4.34,домашний отдых,да
Москва,4,2,65,758,2.78,небольшой дождь,78,,100,3,4,15.10.2025 05:36:59,2025-10-15T05:36:59.616843,Центральный,Круглогодично,UTC+3,12500000,-1.68,домашний отдых,да
Москва,5,3,95,759,2.45,небольшой дождь,58,,100,4,5,15.10.2025 08:52:50,2025-10-15T08:52:50.854607,Центральный,Круглогодично,UTC+3,12500000,-7.25,домашний отдых,да
Казань,2,-1,73,765,3.67,переменная облачность,10000,,38,2,2,15.10.2025 04:40:55,2025-10-15T04:40:55.361593,Приволжский,Май-Сентябрь,UTC+3,1250000,2.03,домашний отдых,нет
Казань,7,4,61,764,4.47,пасмурно,10000,,100,7,7,15.10.2025 07:33:46,2025-10-15T07:33:46.647778,Приволжский,Май-Сентябрь,UTC+3,1250000,0.15,домашний отдых,нет
Сочи,14,13,70,765,1.74,облачно с прояснениями,10000,,72,14,14,15.10.2025 05:36:59,2025-10-15T05:36:59.616843,Южный,Май-Октябрь,UTC+3,400000,4.23,домашний отдых,да
Сочи,19,19,64,765,0.89,пасмурно,10000,,100,19,19,15.10.2025 08:52:50,2025-10-15T08:52:50.854607,Южный,Май-Октябрь,UTC+3,400000,4.71,домашний отдых,да
