city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,-1,-4,86,749,3.0,облачно с прояснениями,10000,,75,-1,-1,17.11.2025 07:24:20,2025-11-17T07:24:20.428280,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.4,домашний отдых,нет
Москва,-2,-7,51,758,5.38,пасмурно,10000,,100,-2,-2,17.11.2025 05:25:17,2025-11-17T05:25:17.947944,Центральный,Круглогодично,UTC+3,12500000,-1.54,домашний отдых,да
Казань,-3,-8,55,769,4.62,переменная облачность,10000,,44,-3,-3,17.11.2025 06:37:02,2025-11-17T06:37:02.942217,Приволжский,Май-Сентябрь,UTC+3,1250000,2.94,домашний отдых,нет
Новосибирск,0,-5,59,769,4.0,ясно,10000,,0,0,0,17.11.2025 07:24:20,2025-11-17T07:24:20.428280,Сибирский,Июнь-Август,UTC+7,1620000,7.8,домашний отдых,нет
Сочи,10,9,83,768,3.09,переменная облачность,10000,,43,10,10,17.11.2025 04:30:29,2025-11-17T04:30:29.106240,Южный,Май-Октябрь,UTC+3,400000,2.79,домашний отдых,нет
Сочи,16,16,74,768,2.03,пасмурно,10000,,100,16,16,17.11.2025 07:24:20,2025-11-17T07:24:20.428280,Южный,Май-Октябрь,UTC+3,400000,1.4,домашний отдых,нет
Москва,-2,-7,53,760,4.97,пасмурно,10000,,100,-3,-2,17.11.2025 03:19:58,2025-11-17T03:19:58.277695,Центральный,Круглогодично,UTC+3,12500000,-1.9,домашний отдых,да
Сочи,13,12,77,768,2.03,пасмурно,10000,,100,13,13,17.11.2025 06:37:02,2025-11-17T06:37:02.942217,Южный,Май-Октябрь,UTC+3,400000,-0.4,домашний отдых,нет
Сочи,11,11,88,768,3.09,переменная облачность,10000,,43,11,11,17.11.2025 05:25:17,2025-11-17T05:25:17.947944,Южный,Май-Октябрь,UTC+3,400000,2.19,домашний отдых,нет
Москва,-1,-7,49,758,5.64,пасмурно,2282,,100,-2,-1,17.11.2025 06:37:02,2025-11-17T06:37:02.942217,Центральный,Круглогодично,UTC+3,12500000,-0.76,домашний отдых,да
Санкт-Петербург,-1,-4,85,750,3.0,облачно с прояснениями,10000,,75,-1,-1,17.11.2025 01:54:39,2025-11-17T01:54:39.195810,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.2,домашний отдых,нет
Казань,-4,-9,56,769,4.19,переменная облачность,10000,,40,-4,-4,17.11.2025 05:25:17,2025-11-17T05:25:17.947944,Приволжский,Май-Сентябрь,UTC+3,1250000,2.78,домашний отдых,нет
Казань,-6,-10,55,769,3.14,переменная облачность,10000,,30,-6,-6,17.11.2025 01:54:39,2025-11-17T01:54:39.195810,Приволжский,Май-Сентябрь,UTC+3,1250000,3.29,домашний отдых,нет
Новосибирск,-1,-7,51,769,5.0,ясно,10000,,0,-1,-1,17.11.2025 04:30:29,2025-11-17T04:30:29.106240,Сибирский,Июнь-Август,UTC+7,1620000,8.9,домашний отдых,нет
Сочи,11,10,86,767,2.65,переменная облачность,10000,,37,11,11,17.11.2025 03:19:58,2025-11-17T03:19:58.277695,Южный,Май-Октябрь,UTC+3,400000,3.23,домашний отдых,нет
Москва,-2,-7,53,759,5.22,пасмурно,10000,,100,-3,-2,17.11.2025 04:30:29,2025-11-17T04:30:29.106240,Центральный,Круглогодично,UTC+3,12500000,-1.92,домашний отдых,да
Новосибирск,-2,-8,54,770,5.0,ясно,10000,,0,-2,-2,17.11.2025 03:19:58,2025-11-17T03:19:58.277695,Сибирский,Июнь-Август,UTC+7,1620000,7.9,домашний отдых,нет
Санкт-Петербург,-1,-5,85,749,3.0,облачно с прояснениями,10000,,75,-1,-1,17.11.2025 06:37:02,2025-11-17T06:37:02.942217,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.2,домашний отдых,нет
Казань,-1,-6,53,769,5.16,пасмурно,10000,,95,-1,-1,17.11.2025 07:24:20,2025-11-17T07:24:20.428280,Приволжский,Май-Сентябрь,UTC+3,1250000,-1.02,домашний отдых,нет
Новосибирск,0,-4,55,769,3.0,ясно,10000,,0,0,0,17.11.2025 06:37:02,2025-11-17T06:37:02.942217,Сибирский,Июнь-Август,UTC+7,1620000,8.7,домашний отдых,нет
Новосибирск,0,-5,51,769,5.0,ясно,10000,,0,0,0,17.11.2025 05:25:17,2025-11-17T05:25:17.947944,Сибирский,Июнь-Август,UTC+7,1620000,9.3,домашний отдых,нет
Казань,-4,-9,56,769,4.19,переменная облачность,10000,,40,-4,-4,17.11.2025 04:30:29,2025-11-17T04:30:29.106240,Приволжский,Май-Сентябрь,UTC+3,1250000,2.78,домашний отдых,нет
Москва,-2,-7,67,761,4.84,пасмурно,10000,,100,-3,-2,17.11.2025 01:54:39,2025-11-17T01:54:39.195810,Центральный,Круглогодично,UTC+3,12500000,-4.68,домашний отдых,да
Санкт-Петербург,-1,-6,84,750,4.0,пасмурно,10000,,100,-1,-1,17.11.2025 05:25:17,2025-11-17T05:25:17.947944,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.6,домашний отдых,нет
Санкт-Петербург,-1,-3,85,749,2.0,пасмурно,10000,,100,-1,-1,17.11.2025 03:19:58,2025-11-17T03:19:58.277695,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.6,домашний отдых,нет
Новосибирск,-4,-10,58,770,5.0,ясно,10000,,0,-4,-4,17.11.2025 01:54:39,2025-11-17T01:54:39.195810,Сибирский,Июнь-Август,UTC+7,1620000,6.3,домашний отдых,нет
Санкт-Петербург,-1,-6,84,750,5.0,пасмурно,10000,,100,-1,-1,17.11.2025 04:30:29,2025-11-17T04:30:29.106240,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.7,домашний отдых,нет
Сочи,11,10,77,767,2.58,переменная облачность,10000,,27,11,11,17.11.2025 01:54:39,2025-11-17T01:54:39.195810,Южный,Май-Октябрь,UTC+3,400000,6.04,домашний отдых,нет
Казань,-5,-9,54,769,3.29,переменная облачность,10000,,27,-5,-5,17.11.2025 03:19:58,2025-11-17T03:19:58.277695,Приволжский,Май-Сентябрь,UTC+3,1250000,4.17,домашний отдых,нет
Москва,-1,-6,49,758,5.64,пасмурно,7962,,100,-2,-1,17.11.2025 07:24:20,2025-11-17T07:24:20.428280,Центральный,Круглогодично,UTC+3,12500000,-0.76,домашний отдых,да
