city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-6,-12,79,775,4.0,пасмурно,10000,,100,-6,-6,25.11.2025 03:18:35,2025-11-25T03:18:35.336989,Сибирский,Июнь-Август,UTC+7,1620000,-8.6,домашний отдых,нет
Санкт-Петербург,0,-4,92,753,4.0,облачно с прояснениями,10000,,75,0,0,25.11.2025 01:53:58,2025-11-25T01:53:58.701509,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.3,домашний отдых,нет
Казань,5,1,92,758,6.03,небольшой дождь,10000,,100,5,5,25.11.2025 01:53:58,2025-11-25T01:53:58.701509,Приволжский,Май-Сентябрь,UTC+3,1250000,-7.0,домашний отдых,нет
Москва,1,-4,68,761,4.55,пасмурно,10000,,99,0,1,25.11.2025 01:53:58,2025-11-25T01:53:58.701509,Центральный,Круглогодично,UTC+3,12500000,-3.55,домашний отдых,да
Москва,1,-4,64,761,4.76,пасмурно,10000,,99,0,1,25.11.2025 03:18:35,2025-11-25T03:18:35.336989,Центральный,Круглогодично,UTC+3,12500000,-2.78,домашний отдых,да
Сочи,12,11,70,766,1.17,пасмурно,10000,,100,12,12,25.11.2025 01:53:58,2025-11-25T01:53:58.701509,Южный,Май-Октябрь,UTC+3,400000,0.68,домашний отдых,нет
Санкт-Петербург,0,-4,92,752,4.0,пасмурно,10000,,100,0,0,25.11.2025 03:18:35,2025-11-25T03:18:35.336989,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.8,домашний отдых,нет
Новосибирск,-7,-12,86,775,3.0,небольшой снег,10000,,100,-7,-7,25.11.2025 01:53:58,2025-11-25T01:53:58.701509,Сибирский,Июнь-Август,UTC+7,1620000,-10.3,домашний отдых,нет
Казань,6,3,92,758,5.94,пасмурно,10000,,100,6,6,25.11.2025 03:18:35,2025-11-25T03:18:35.336989,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.59,домашний отдых,нет
Сочи,11,10,72,765,2.37,пасмурно,10000,,100,11,11,25.11.2025 03:18:35,2025-11-25T03:18:35.336989,Южный,Май-Октябрь,UTC+3,400000,-0.24,домашний отдых,нет
