city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-3,-9,86,762,5.0,небольшой снег,10000,,75,-3,-3,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Сибирский,Июнь-Август,UTC+7,1620000,-6.4,домашний отдых,нет
Сочи,14,14,89,767,2.28,небольшой дождь,10000,,100,14,14,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Южный,Май-Октябрь,UTC+3,400000,-2.43,домашний отдых,нет
Москва,4,3,65,763,1.42,пасмурно,10000,,100,4,4,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Центральный,Круглогодично,UTC+3,12500000,-1.54,домашний отдых,да
Казань,-1,-6,75,769,4.61,пасмурно,10000,,100,-1,-1,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.86,домашний отдых,нет
Санкт-Петербург,4,1,92,753,4.0,небольшой проливной дождь,10000,,100,4,4,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.2,домашний отдых,нет
Казань,-2,-6,67,770,3.96,пасмурно,10000,,100,-2,-2,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.6,домашний отдых,нет
Санкт-Петербург,4,0,91,755,5.0,облачно с прояснениями,10000,,75,4,4,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.6,домашний отдых,нет
Сочи,14,14,91,767,1.69,небольшой дождь,9793,,100,14,14,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Южный,Май-Октябрь,UTC+3,400000,-2.77,домашний отдых,нет
Москва,5,4,89,763,1.4,пасмурно,10000,,100,4,6,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Центральный,Круглогодично,UTC+3,12500000,-5.94,домашний отдых,да
Новосибирск,-4,-11,86,762,7.0,небольшой снег,10000,,100,-4,-4,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Сибирский,Июнь-Август,UTC+7,1620000,-9.5,домашний отдых,нет
