city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-3,-9,86,762,5.0,небольшой снег,10000,,75,-3,-3,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Сибирский,Июнь-Август,UTC+7,1620000,-6.4,домашний отдых,нет
Казань,2,-2,96,767,4.84,пасмурно,10000,,100,2,2,13.11.2025 09:27:23,2025-11-13T09:27:23.650316,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.88,домашний отдых,нет
Сочи,14,14,89,767,2.28,небольшой дождь,10000,,100,14,14,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Южный,Май-Октябрь,UTC+3,400000,-2.43,домашний отдых,нет
Казань,0,-5,92,768,5.16,небольшой снег,10000,,100,0,0,13.11.2025 05:24:39,2025-11-13T05:24:39.600876,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.92,домашний отдых,нет
Казань,1,-3,94,768,5.07,небольшой снег,10000,,100,1,1,13.11.2025 07:23:32,2025-11-13T07:23:32.362889,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.91,домашний отдых,нет
Санкт-Петербург,5,1,93,750,7.0,небольшой проливной дождь,10000,,100,5,5,13.11.2025 07:23:32,2025-11-13T07:23:32.362889,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.3,домашний отдых,нет
Новосибирск,-4,-11,86,765,7.0,небольшой снегопад,8000,,100,-4,-4,13.11.2025 08:32:16,2025-11-13T08:32:16.280630,Сибирский,Июнь-Август,UTC+7,1620000,-9.5,домашний отдых,нет
Казань,-1,-6,86,768,5.11,небольшой снег,10000,,100,-1,-1,13.11.2025 04:29:57,2025-11-13T04:29:57.907422,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.11,домашний отдых,нет
Сочи,14,14,93,767,1.74,небольшой дождь,6952,,100,14,14,13.11.2025 06:36:18,2025-11-13T06:36:18.820368,Южный,Май-Октябрь,UTC+3,400000,-3.17,домашний отдых,нет
Москва,4,4,69,763,1.28,пасмурно,10000,,100,4,6,13.11.2025 04:29:57,2025-11-13T04:29:57.907422,Центральный,Круглогодично,UTC+3,12500000,-2.33,домашний отдых,да
Москва,4,3,65,763,1.42,пасмурно,10000,,100,4,4,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Центральный,Круглогодично,UTC+3,12500000,-1.54,домашний отдых,да
Санкт-Петербург,6,1,94,749,7.0,облачно с прояснениями,10000,,75,6,6,13.11.2025 09:27:23,2025-11-13T09:27:23.650316,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.6,домашний отдых,нет
Сочи,15,15,92,766,1.53,дождь,6465,,100,15,15,13.11.2025 08:32:16,2025-11-13T08:32:16.280630,Южный,Май-Октябрь,UTC+3,400000,-2.55,домашний отдых,нет
Санкт-Петербург,5,1,93,751,7.0,облачно с прояснениями,10000,,75,5,5,13.11.2025 08:32:16,2025-11-13T08:32:16.280630,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.8,домашний отдых,нет
Новосибирск,-4,-11,93,763,7.0,небольшой снег,9000,,100,-4,-4,13.11.2025 04:29:57,2025-11-13T04:29:57.907422,Сибирский,Июнь-Август,UTC+7,1620000,-10.9,домашний отдых,нет
Новосибирск,-4,-11,93,764,6.0,небольшой снег,3900,,100,-4,-4,13.11.2025 05:24:39,2025-11-13T05:24:39.600876,Сибирский,Июнь-Август,UTC+7,1620000,-10.8,домашний отдых,нет
Москва,6,5,78,762,1.88,пасмурно,10000,,100,5,6,13.11.2025 08:32:16,2025-11-13T08:32:16.280630,Центральный,Круглогодично,UTC+3,12500000,-3.39,домашний отдых,да
Новосибирск,-3,-10,80,764,7.0,небольшой снег,7000,,100,-3,-3,13.11.2025 07:23:32,2025-11-13T07:23:32.362889,Сибирский,Июнь-Август,UTC+7,1620000,-7.9,домашний отдых,нет
Казань,-1,-6,75,769,4.61,пасмурно,10000,,100,-1,-1,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.86,домашний отдых,нет
Казань,2,-2,96,767,4.84,пасмурно,10000,,100,2,2,13.11.2025 08:32:16,2025-11-13T08:32:16.280630,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.88,домашний отдых,нет
Санкт-Петербург,4,1,93,752,5.0,небольшой проливной дождь,9000,,100,4,4,13.11.2025 05:24:39,2025-11-13T05:24:39.600876,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.5,домашний отдых,нет
Сочи,14,14,92,767,2.34,небольшой дождь,6747,,100,14,14,13.11.2025 05:24:39,2025-11-13T05:24:39.600876,Южный,Май-Октябрь,UTC+3,400000,-3.03,домашний отдых,нет
Санкт-Петербург,4,1,92,753,4.0,небольшой проливной дождь,10000,,100,4,4,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.2,домашний отдых,нет
Москва,4,3,69,763,1.42,пасмурно,10000,,100,4,6,13.11.2025 05:24:39,2025-11-13T05:24:39.600876,Центральный,Круглогодично,UTC+3,12500000,-2.34,домашний отдых,да
Казань,-2,-6,67,770,3.96,пасмурно,10000,,100,-2,-2,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.6,домашний отдых,нет
Москва,6,4,78,762,1.68,пасмурно,10000,,100,4,6,13.11.2025 07:23:32,2025-11-13T07:23:32.362889,Центральный,Круглогодично,UTC+3,12500000,-3.37,домашний отдых,да
Сочи,16,16,93,766,1.53,дождь,6465,,100,16,16,13.11.2025 09:27:23,2025-11-13T09:27:23.650316,Южный,Май-Октябрь,UTC+3,400000,-2.35,домашний отдых,нет
Санкт-Петербург,4,1,93,753,4.0,небольшой проливной дождь,10000,,100,4,4,13.11.2025 04:29:57,2025-11-13T04:29:57.907422,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.4,домашний отдых,нет
Казань,1,-3,95,767,5.08,небольшой снег,10000,,100,1,1,13.11.2025 06:36:18,2025-11-13T06:36:18.820368,Приволжский,Май-Сентябрь,UTC+3,1250000,-9.11,домашний отдых,нет
Новосибирск,-3,-10,74,764,7.0,облачно с прояснениями,10000,,75,-3,-3,13.11.2025 06:36:18,2025-11-13T06:36:18.820368,Сибирский,Июнь-Август,UTC+7,1620000,-4.2,домашний отдых,нет
Санкт-Петербург,4,0,91,755,5.0,облачно с прояснениями,10000,,75,4,4,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.6,домашний отдых,нет
Сочи,14,14,91,767,1.69,небольшой дождь,9793,,100,14,14,13.11.2025 01:54:30,2025-11-13T01:54:30.278876,Южный,Май-Октябрь,UTC+3,400000,-2.77,домашний отдых,нет
Санкт-Петербург,4,1,93,752,4.0,пасмурно,10000,,100,4,5,13.11.2025 06:36:18,2025-11-13T06:36:18.820368,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.4,домашний отдых,нет
Москва,5,4,79,763,1.38,пасмурно,10000,,100,4,6,13.11.2025 06:36:18,2025-11-13T06:36:18.820368,Центральный,Круглогодично,UTC+3,12500000,-3.94,домашний отдых,да
Сочи,14,14,90,767,1.88,небольшой дождь,10000,,99,14,14,13.11.2025 07:23:32,2025-11-13T07:23:32.362889,Южный,Май-Октябрь,UTC+3,400000,-2.49,домашний отдых,нет
Москва,5,4,89,763,1.4,пасмурно,10000,,100,4,6,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Центральный,Круглогодично,UTC+3,12500000,-5.94,домашний отдых,да
Новосибирск,-4,-11,86,762,7.0,небольшой снег,10000,,100,-4,-4,13.11.2025 03:18:16,2025-11-13T03:18:16.275170,Сибирский,Июнь-Август,UTC+7,1620000,-9.5,домашний отдых,нет
Сочи,14,14,91,767,3.0,небольшой дождь,10000,,100,14,14,13.11.2025 04:29:57,2025-11-13T04:29:57.907422,Южный,Май-Октябрь,UTC+3,400000,-2.9,домашний отдых,нет
Новосибирск,-4,-11,86,765,6.0,небольшой снегопад,2500,,100,-4,-4,13.11.2025 09:27:23,2025-11-13T09:27:23.650316,Сибирский,Июнь-Август,UTC+7,1620000,-9.4,домашний отдых,нет
Москва,6,5,77,762,2.09,пасмурно,10000,,100,5,6,13.11.2025 09:27:23,2025-11-13T09:27:23.650316,Центральный,Круглогодично,UTC+3,12500000,-3.21,домашний отдых,да
