city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Санкт-Петербург,2,-3,91,760,6.0,пасмурно,10000,,100,2,2,30.11.2025 03:58:45,2025-11-30T03:58:45.800451
Сочи,6,4,56,759,3.05,облачно с прояснениями,10000,,84,6,6,30.11.2025 04:39:46,2025-11-30T04:39:46.682649
Санкт-Петербург,2,-2,91,761,4.0,пасмурно,10000,,100,2,2,30.11.2025 04:39:46,2025-11-30T04:39:46.682649
Казань,4,2,83,770,2.84,пасмурно,10000,,99,4,4,30.11.2025 06:35:56,2025-11-30T06:35:56.242266
Санкт-Петербург,2,-4,91,758,7.0,пасмурно,10000,,100,1,2,30.11.2025 02:05:22,2025-11-30T02:05:22.634764
Казань,4,2,79,770,2.55,пасмурно,10000,,100,4,4,30.11.2025 05:24:31,2025-11-30T05:24:31.489495
Санкт-Петербург,2,-3,92,761,5.0,облачно с прояснениями,10000,,75,2,2,30.11.2025 07:21:20,2025-11-30T07:21:20.705289
Новосибирск,-23,-23,77,777,1.0,ясно,10000,,0,-23,-23,30.11.2025 05:24:31,2025-11-30T05:24:31.489495
Новосибирск,-30,-30,76,778,1.0,ясно,10000,,0,-30,-30,30.11.2025 02:05:22,2025-11-30T02:05:22.634764
Новосибирск,-23,-30,77,776,2.0,пасмурно,9000,,85,-23,-23,30.11.2025 07:21:20,2025-11-30T07:21:20.705289
Новосибирск,-24,-24,77,776,1.0,ясно,10000,,0,-24,-24,30.11.2025 06:35:56,2025-11-30T06:35:56.242266
Новосибирск,-28,-28,76,777,1.0,ясно,10000,,0,-28,-28,30.11.2025 04:39:46,2025-11-30T04:39:46.682649
Сочи,12,11,53,759,2.55,пасмурно,10000,,100,12,12,30.11.2025 06:35:56,2025-11-30T06:35:56.242266
Москва,2,0,64,767,2.04,небольшой дождь,10000,,100,1,2,30.11.2025 04:39:46,2025-11-30T04:39:46.682649
Казань,4,2,79,770,2.55,пасмурно,10000,,100,4,4,30.11.2025 04:39:46,2025-11-30T04:39:46.682649
Сочи,8,6,54,759,3.21,облачно с прояснениями,10000,,80,8,8,30.11.2025 03:58:45,2025-11-30T03:58:45.800451
Казань,4,2,83,770,3.0,пасмурно,10000,,99,4,4,30.11.2025 07:21:20,2025-11-30T07:21:20.705289
Сочи,10,8,52,759,4.05,облачно с прояснениями,10000,,82,10,10,30.11.2025 02:05:22,2025-11-30T02:05:22.634764
Москва,2,-1,65,767,2.65,пасмурно,10000,,100,1,2,30.11.2025 02:05:22,2025-11-30T02:05:22.634764
Казань,4,2,78,770,2.18,пасмурно,10000,,100,4,4,30.11.2025 03:58:45,2025-11-30T03:58:45.800451
Москва,3,0,61,767,2.03,пасмурно,10000,,100,1,3,30.11.2025 06:35:56,2025-11-30T06:35:56.242266
Москва,3,1,62,767,1.9,пасмурно,10000,,100,2,3,30.11.2025 07:21:20,2025-11-30T07:21:20.705289
Сочи,13,12,42,759,2.57,пасмурно,10000,,100,13,13,30.11.2025 07:21:20,2025-11-30T07:21:20.705289
Сочи,7,5,63,759,3.05,облачно с прояснениями,10000,,84,7,7,30.11.2025 05:24:31,2025-11-30T05:24:31.489495
Санкт-Петербург,2,-3,91,759,5.0,пасмурно,10000,,100,2,2,30.11.2025 05:24:31,2025-11-30T05:24:31.489495
Москва,1,-1,66,767,2.34,пасмурно,10000,,100,1,1,30.11.2025 03:58:45,2025-11-30T03:58:45.800451
Новосибирск,-29,-36,76,777,2.0,ясно,10000,,0,-29,-29,30.11.2025 03:58:45,2025-11-30T03:58:45.800451
Санкт-Петербург,2,-3,91,761,5.0,пасмурно,10000,,100,2,2,30.11.2025 06:35:56,2025-11-30T06:35:56.242266
Казань,4,3,80,770,1.51,пасмурно,10000,,100,4,4,30.11.2025 02:05:22,2025-11-30T02:05:22.634764
Москва,2,0,63,767,2.04,небольшой дождь,10000,,100,1,2,30.11.2025 05:24:31,2025-11-30T05:24:31.489495
