city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Новосибирск,2,-4,93,757,7.0,небольшой снег,6000,,100,2,2,26.11.2025 09:28:46,2025-11-26T09:28:46.143762
Сочи,10,9,75,764,1.3,пасмурно,10000,,100,10,10,26.11.2025 04:30:48,2025-11-26T04:30:48.090715
Москва,3,3,63,764,1.18,небольшой дождь,151,,100,1,3,26.11.2025 09:28:46,2025-11-26T09:28:46.143762
Казань,0,-4,80,765,3.91,облачно с прояснениями,10000,,81,0,0,26.11.2025 04:30:48,2025-11-26T04:30:48.090715
Новосибирск,2,-4,93,757,7.0,пасмурно,10000,,100,2,2,26.11.2025 08:33:38,2025-11-26T08:33:38.712013
Москва,1,1,67,763,1.32,небольшой снег,20,,100,0,1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Новосибирск,2,-4,93,757,8.0,пасмурно,9000,,100,2,2,26.11.2025 06:37:24,2025-11-26T06:37:24.089222
Сочи,16,15,61,765,1.82,пасмурно,10000,,100,16,16,26.11.2025 08:33:38,2025-11-26T08:33:38.712013
Новосибирск,2,-4,100,757,8.0,туман,5000,,100,2,2,26.11.2025 04:30:48,2025-11-26T04:30:48.090715
Москва,1,1,65,764,0.94,снег,21,,100,0,1,26.11.2025 05:24:53,2025-11-26T05:24:53.294551
Москва,1,1,69,763,1.18,небольшой снег,22,,100,0,1,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Санкт-Петербург,-1,-1,93,763,1.0,пасмурно,10000,,100,-1,-1,26.11.2025 04:30:48,2025-11-26T04:30:48.090715
Новосибирск,2,-3,100,757,6.0,небольшая морось,2500,,100,2,2,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Санкт-Петербург,-1,-1,93,763,0.0,пасмурно,2800,,100,-1,-1,26.11.2025 09:28:46,2025-11-26T09:28:46.143762
Сочи,10,9,77,764,1.3,пасмурно,10000,,100,10,10,26.11.2025 05:24:53,2025-11-26T05:24:53.294551
Казань,1,-3,80,765,4.08,пасмурно,10000,,91,1,1,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Казань,1,-3,75,766,4.51,облачно с прояснениями,10000,,69,1,1,26.11.2025 08:33:38,2025-11-26T08:33:38.712013
Москва,1,1,65,764,0.74,небольшой снег,22,,100,0,1,26.11.2025 06:37:24,2025-11-26T06:37:24.089222
Казань,1,-3,78,766,4.6,облачно с прояснениями,10000,,79,1,1,26.11.2025 09:28:46,2025-11-26T09:28:46.143762
Санкт-Петербург,-1,-1,86,764,0.0,пасмурно,9000,,100,-1,-1,26.11.2025 06:37:24,2025-11-26T06:37:24.089222
Новосибирск,2,-4,87,757,8.0,пасмурно,10000,,100,2,2,26.11.2025 07:23:33,2025-11-26T07:23:33.085653
Новосибирск,2,-3,93,757,6.0,пасмурно,6000,,100,2,2,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Казань,1,-3,80,765,4.17,пасмурно,10000,,86,1,1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Новосибирск,2,-4,93,757,8.0,небольшая морось,6000,,100,2,2,26.11.2025 05:24:53,2025-11-26T05:24:53.294551
Санкт-Петербург,-1,-1,93,762,0.0,туман,4800,,75,-1,-1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Сочи,10,9,78,764,1.56,пасмурно,10000,,100,10,10,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Санкт-Петербург,-1,-4,93,762,2.0,пасмурно,9000,,100,-1,-1,26.11.2025 07:23:33,2025-11-26T07:23:33.085653
Сочи,10,9,86,764,1.58,пасмурно,10000,,100,10,10,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Казань,1,-3,75,766,4.28,переменная облачность,10000,,42,1,1,26.11.2025 07:23:33,2025-11-26T07:23:33.085653
Казань,0,-4,75,766,4.13,пасмурно,10000,,92,0,0,26.11.2025 06:37:24,2025-11-26T06:37:24.089222
Москва,1,1,66,763,1.08,небольшой снег,22,,100,0,1,26.11.2025 04:30:48,2025-11-26T04:30:48.090715
Сочи,17,16,61,764,1.82,пасмурно,10000,,100,17,17,26.11.2025 09:28:46,2025-11-26T09:28:46.143762
Санкт-Петербург,-2,-2,93,761,0.0,пасмурно,9000,,100,-2,-2,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Сочи,12,11,72,764,1.48,пасмурно,10000,,100,12,12,26.11.2025 06:37:24,2025-11-26T06:37:24.089222
Санкт-Петербург,-2,-2,93,761,1.0,пасмурно,9000,,100,-2,-2,26.11.2025 05:24:53,2025-11-26T05:24:53.294551
Санкт-Петербург,-1,-1,93,764,1.0,пасмурно,9000,,100,-1,-1,26.11.2025 08:33:38,2025-11-26T08:33:38.712013
Москва,3,3,63,764,1.18,небольшой дождь,151,,100,1,4,26.11.2025 08:33:38,2025-11-26T08:33:38.712013
Москва,2,2,64,764,0.85,небольшой дождь,50,,100,0,2,26.11.2025 07:23:33,2025-11-26T07:23:33.085653
Казань,-1,-5,80,766,3.89,пасмурно,10000,,85,-1,-1,26.11.2025 05:24:53,2025-11-26T05:24:53.294551
Сочи,14,13,70,764,1.14,пасмурно,10000,,100,14,14,26.11.2025 07:23:33,2025-11-26T07:23:33.085653
