city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Москва,1,1,67,763,1.32,небольшой снег,20,,100,0,1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Москва,1,1,69,763,1.18,небольшой снег,22,,100,0,1,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Новосибирск,2,-3,100,757,6.0,небольшая морось,2500,,100,2,2,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Казань,1,-3,80,765,4.08,пасмурно,10000,,91,1,1,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Новосибирск,2,-3,93,757,6.0,пасмурно,6000,,100,2,2,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Казань,1,-3,80,765,4.17,пасмурно,10000,,86,1,1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Санкт-Петербург,-1,-1,93,762,0.0,туман,4800,,75,-1,-1,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Сочи,10,9,78,764,1.56,пасмурно,10000,,100,10,10,26.11.2025 01:54:14,2025-11-26T01:54:14.332359
Сочи,10,9,86,764,1.58,пасмурно,10000,,100,10,10,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
Санкт-Петербург,-2,-2,93,761,0.0,пасмурно,9000,,100,-2,-2,26.11.2025 03:18:28,2025-11-26T03:18:28.263941
