city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Казань,0,-2,88,770,2.27,пасмурно,10000,,95,0,0,24.11.2025 03:39:25,2025-11-24T03:39:25.346337
Казань,0,-2,88,770,1.88,пасмурно,10000,,90,0,0,24.11.2025 02:00:34,2025-11-24T02:00:34.782118
Новосибирск,-1,-8,86,758,8.0,небольшой снег,10000,,100,-1,-1,24.11.2025 03:39:25,2025-11-24T03:39:25.346337
Москва,0,-5,61,757,6.52,пасмурно,10000,,100,0,0,24.11.2025 03:39:25,2025-11-24T03:39:25.346337
Сочи,10,8,47,761,3.71,переменная облачность,10000,,30,10,10,24.11.2025 03:39:25,2025-11-24T03:39:25.346337
Сочи,10,9,54,761,3.82,ясно,10000,,5,10,10,24.11.2025 02:00:34,2025-11-24T02:00:34.782118
Москва,0,-6,60,759,6.86,снег,10000,,100,0,0,24.11.2025 02:00:34,2025-11-24T02:00:34.782118
Новосибирск,0,-5,100,755,5.0,снег,5000,,100,0,0,24.11.2025 02:00:34,2025-11-24T02:00:34.782118
Санкт-Петербург,-1,-5,94,756,3.0,снегопад,1400,,100,-1,-1,24.11.2025 03:39:25,2025-11-24T03:39:25.346337
Санкт-Петербург,-1,-5,94,758,3.0,небольшой снегопад,4600,,100,-1,-1,24.11.2025 02:00:34,2025-11-24T02:00:34.782118
